Automobilio pavadinimas;Nuoroda;Kaina USD;Kaina UAH;Automobilis yra mieste
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1826879.html;   42 618 $   ;1 277 713 грн;Днепр (Днепропетровск)
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1832955.html;   62 174 $   ;1 652 520 грн;Чубинское
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1832956.html;   53 652 $   ;1 426 031 грн;Чубинское
Jaguar F-Type 2020;https://auto.ria.com/newauto/auto-jaguar-f-type-1837959.html;   98 636 $   ;2 621 647 грн;Чубинское
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1821762.html;   41 780 $   ;1 110 470 грн;Чубинское
Jaguar XF 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1838686.html;   51 911 $   ;1 392 564 грн;Киев
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1838661.html;   78 312 $   ;2 100 823 грн;Киев
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1835408.html;   88 475 $   ;2 373 291 грн;Львов
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1838222.html;   50 125 $   ;1 344 322 грн;Киев
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1826682.html;   49 226 $   ;1 245 440 грн;Одесса
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1837674.html;   40 815 $   ;1 094 637 грн;Киев
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1838715.html;   77 100 $   ;2 311 517 грн;Днепр (Днепропетровск)
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1832639.html;   88 278 $   ;2 346 344 грн;Чубинское
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1834563.html;   60 348 $   ;1 526 840 грн;Одесса
Jaguar XE 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1838775.html;   49 243 $   ;1 308 831 грн;Чубинское
Jaguar F-Type 2019;https://auto.ria.com/newauto/auto-jaguar-f-type-1824183.html;   84 536 $   ;2 246 900 грн;Чубинское
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1821763.html;   82 678 $   ;2 197 500 грн;Чубинское
Jaguar XF 2019;https://auto.ria.com/newauto/auto-jaguar-xf-1832636.html;   51 701 $   ;1 374 170 грн;Чубинское
Jaguar F-Type 2019;https://auto.ria.com/newauto/auto-jaguar-f-type-1817613.html;   84 536 $   ;2 267 789 грн;Киев
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1827913.html;   62 500 $   ;1 676 638 грн;Киев
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1832857.html;   70 331 $   ;1 886 719 грн;Киев
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1838200.html;   48 717 $   ;1 232 560 грн;Одесса
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1835669.html;   71 526 $   ;1 809 640 грн;Одесса
Jaguar F-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1826235.html;   49 802 $   ;1 260 000 грн;Одесса
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1829285.html;   47 942 $   ;1 274 257 грн;Чубинское
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1829277.html;   53 211 $   ;1 414 311 грн;Чубинское
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1835093.html;   48 526 $   ;1 289 786 грн;Чубинское
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1834756.html;   79 304 $   ;2 107 842 грн;Чубинское
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1835098.html;   77 100 $   ;2 049 242 грн;Чубинское
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1833500.html;   65 800 $   ;1 765 164 грн;Киев
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718507.html;   62 213 $   ;1 668 831 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718685.html;   54 071 $   ;1 450 410 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1641676.html;   57 937 $   ;1 554 138 грн;Харьков
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1833504.html;   62 800 $   ;1 684 685 грн;Киев
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1740921.html;   83 670 $   ;2 244 545 грн;Киев
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718468.html;   44 204 $   ;1 185 756 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718464.html;   48 038 $   ;1 288 595 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718472.html;   47 618 $   ;1 277 333 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601710.html;   55 128 $   ;1 478 611 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718681.html;   51 088 $   ;1 370 392 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1719706.html;   63 329 $   ;1 698 764 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718501.html;   56 469 $   ;1 514 581 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718503.html;   65 258 $   ;1 750 314 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718471.html;   59 173 $   ;1 587 114 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718499.html;   57 389 $   ;1 539 254 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718674.html;   62 775 $   ;1 683 726 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718691.html;   64 792 $   ;1 737 829 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718659.html;   60 780 $   ;1 630 218 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1512247.html;   45 707 $   ;1 225 933 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718658.html;   94 695 $   ;2 539 858 грн;Харьков
Jaguar F-Type 2020;https://auto.ria.com/newauto/auto-jaguar-f-type-1822066.html;   111 705 $   ;2 826 180 грн;Одесса
Jaguar XE 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1814970.html;   43 593 $   ;1 102 920 грн;Одесса
Jaguar XF 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1500418.html;   47 455 $   ;1 200 640 грн;Одесса
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1767149.html;   46 149 $   ;1 167 600 грн;Одесса
Jaguar XF 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1604493.html;   56 309 $   ;1 424 640 грн;Одесса
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1766932.html;   46 504 $   ;1 176 560 грн;Одесса
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1760894.html;   63 912 $   ;1 617 000 грн;Одесса
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1760887.html;   72 279 $   ;1 828 680 грн;Одесса
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1767154.html;   58 235 $   ;1 473 360 грн;Одесса
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1760378.html;   43 814 $   ;1 108 520 грн;Одесса
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1834115.html;   51 581 $   ;1 383 485 грн;Харьков
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1716840.html;   46 161 $   ;1 167 880 грн;Одесса
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1760895.html;   67 863 $   ;1 716 960 грн;Одесса
Jaguar XE 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1814976.html;   45 961 $   ;1 162 840 грн;Одесса
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1767153.html;   108 623 $   ;2 748 200 грн;Одесса
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1574399.html;   65 904 $   ;1 667 400 грн;Одесса
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1832917.html;   46 333 $   ;1 242 928 грн;Львов
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1834110.html;   86 580 $   ;2 322 616 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718687.html;   61 336 $   ;1 645 408 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718670.html;   55 052 $   ;1 476 846 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718465.html;   41 350 $   ;1 109 261 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718502.html;   60 476 $   ;1 622 342 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718462.html;   44 536 $   ;1 194 725 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601704.html;   61 495 $   ;1 649 051 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601711.html;   59 619 $   ;1 598 757 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718494.html;   61 810 $   ;1 658 124 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601709.html;   51 565 $   ;1 382 789 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718676.html;   73 021 $   ;1 958 876 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718669.html;   53 178 $   ;1 426 573 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718655.html;   67 730 $   ;1 816 928 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1512403.html;   57 854 $   ;1 551 422 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718492.html;   62 725 $   ;1 682 670 грн;Харьков
Jaguar F-Type 2020;https://auto.ria.com/newauto/auto-jaguar-f-type-1839342.html;   89 071 $   ;2 389 450 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718489.html;   64 654 $   ;1 734 421 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601715.html;   59 288 $   ;1 589 882 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718484.html;   56 816 $   ;1 524 161 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718473.html;   53 520 $   ;1 435 740 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1729960.html;   44 756 $   ;1 200 639 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718461.html;   38 517 $   ;1 033 260 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1641673.html;   50 352 $   ;1 350 246 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718497.html;   70 552 $   ;1 892 634 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718668.html;   52 517 $   ;1 408 829 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1512268.html;   56 420 $   ;1 512 962 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718689.html;   78 864 $   ;2 115 609 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1641675.html;   64 363 $   ;1 725 971 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718694.html;   81 443 $   ;2 184 809 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1483189.html;   44 063 $   ;1 181 613 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718505.html;   62 978 $   ;1 689 471 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1512253.html;   52 117 $   ;1 397 581 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718467.html;   50 775 $   ;1 362 105 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718679.html;   54 501 $   ;1 462 059 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718474.html;   57 841 $   ;1 551 664 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718680.html;   61 115 $   ;1 639 494 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718509.html;   70 816 $   ;1 899 731 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718498.html;   52 759 $   ;1 415 335 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718486.html;   49 893 $   ;1 338 447 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1601700.html;   67 893 $   ;1 820 642 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718654.html;   74 675 $   ;2 003 234 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718695.html;   57 213 $   ;1 534 808 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1512225.html;   59 950 $   ;1 607 633 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718485.html;   61 248 $   ;1 643 042 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718686.html;   58 139 $   ;1 559 648 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718491.html;   58 404 $   ;1 566 746 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718661.html;   91 100 $   ;2 443 863 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601714.html;   55 096 $   ;1 477 460 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718508.html;   66 385 $   ;1 780 850 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718500.html;   61 501 $   ;1 649 844 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718482.html;   46 487 $   ;1 247 068 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718466.html;   47 369 $   ;1 270 726 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718488.html;   60 222 $   ;1 615 540 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1719703.html;   50 147 $   ;1 345 248 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718690.html;   46 740 $   ;1 253 870 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718692.html;   70 298 $   ;1 885 832 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718696.html;   57 941 $   ;1 554 325 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718683.html;   58 470 $   ;1 568 520 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718678.html;   51 304 $   ;1 376 299 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1719707.html;   65 282 $   ;1 751 277 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718490.html;   69 989 $   ;1 877 552 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718476.html;   43 731 $   ;1 173 137 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718506.html;   67 410 $   ;1 808 352 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1719708.html;   58 933 $   ;1 580 940 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718493.html;   67 145 $   ;1 801 255 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1483191.html;   47 373 $   ;1 270 367 грн;Харьков
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1834058.html;   45 726 $   ;1 226 663 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718504.html;   58 668 $   ;1 573 843 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1512256.html;   48 366 $   ;1 296 993 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718469.html;   50 125 $   ;1 344 657 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718675.html;   69 052 $   ;1 852 415 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1641674.html;   54 544 $   ;1 462 668 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718660.html;   66 186 $   ;1 775 527 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718677.html;   47 115 $   ;1 263 924 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483185.html;   63 922 $   ;1 714 137 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1535722.html;   58 185 $   ;1 560 297 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718479.html;   47 137 $   ;1 264 516 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718693.html;   74 487 $   ;1 998 207 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718697.html;   58 889 $   ;1 579 758 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601705.html;   66 239 $   ;1 776 265 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1512246.html;   51 124 $   ;1 370 955 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483187.html;   48 256 $   ;1 294 035 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718470.html;   54 435 $   ;1 460 285 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718688.html;   75 997 $   ;2 038 721 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718477.html;   49 750 $   ;1 334 602 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718684.html;   65 084 $   ;1 745 954 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718656.html;   72 029 $   ;1 932 261 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1512245.html;   40 202 $   ;1 078 066 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718682.html;   55 273 $   ;1 482 760 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718487.html;   55 912 $   ;1 499 912 грн;Харьков
Jaguar F-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718657.html;   78 864 $   ;2 115 609 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1512257.html;   51 676 $   ;1 385 747 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718463.html;   41 923 $   ;1 124 638 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483188.html;   45 939 $   ;1 231 907 грн;Харьков
Jaguar XE 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483186.html;   53 000 $   ;1 421 249 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718481.html;   53 156 $   ;1 425 981 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1719704.html;   70 243 $   ;1 884 353 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718495.html;   66 131 $   ;1 774 048 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718475.html;   62 139 $   ;1 668 419 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718483.html;   52 402 $   ;1 406 990 грн;Харьков
